rank,sequenza,turni,trick
106954227391669,0130023302200030010000000010000000000021,4663,757
12300515440304,0000001000000000002113002330220003001000,4662,757
183299039438555,3002330200300100001000001000000000001220,4656,755
43411694869967,0001000000000002200100023302030010000103,4653,753
57228650526117,0002330230010000103000100000000000200102,4650,753
64253292445076,0010000000000020010200233023001000010300,4649,753
30127652250051,0000100020130320000001000120030003000002,4609,746
99111577645796,0100120030003000002000100020130320000000,4606,746
66926217134502,0010002013032000000010012003000300000200,4605,746
82166740449976,0022000001000000302003001001203010000030,4601,730
105500421551547,0120030003000002000100020130320000000010,4600,744
126731420467008,0300100120301000003002200000100000030200,4600,730
54146744672226,0002013032000000001012003000300000200010,4599,744
98252519178900,0100030003000002000100201303200000000102,4599,744
79629482178816,0020130320000000010210003000300000200010,4598,744
109223204489461,0200000100000030200030000120301000003021,4597,729
178012984519135,3000012030100000302120000010000003020000,4596,729
73755937579899,0013032000000001020203000300000200010010,4593,742
158223389343291,2000010000003020000300012030100000302100,4593,729
126068473894362,0300030000020001001001303200000000102020,4592,742
102285236018089,0102030100000302100000001000000302000032,4591,728
29285303265623,0000100000030200003210203010000030210000,4590,728
152291881917119,1203010000030210000000100000030200003200,4587,728
144879584700471,1003010000030210000001000000302000032002,4586,728
154327219631488,1303200000010202000300030000000010010020,4586,741
57408553408476,0003000000001001002030320000001020200031,4585,740
137622903895326,1000000302000032002003010000030210000010,4583,727
187966648427985,3032000001020200031000300000001001002000,4582,740
184362933082040,3010000030210000010000000302000032002010,4580,726
122646741370679,0300000010010020000000320000102020003103,4579,740
92246060785248,0032000102020003103030000010010020000000,4576,740
176594131614918,3000001001002000000003200010202000310300,4575,740
12955091504093,0000001001002000000032000102020003103003,4574,740
190958614560429,3200102020003103003000000001002000000001,4571,739
20120937313626,0000010020000000010002010202000310300303,4568,738
92734721829307,0032100000100300000102000320020100300000,4566,723
112456414356570,0200032002010030000003210000010030000010,4565,723
118503573531623,0210202000310300303000010020000000010000,4565,738
45905943333237,0001002000000001000021020200031030030300,4564,738
131683651042626,0310000010030000010020002002010030000023,4562,723
160705906185300,2000200201003000002331000001003000001000,4561,723
50463622159009,0002000000001000011002020003103003030002,4559,736
20318678106296,0000010030000010002300020100300000231200,4555,721
53856075049593,0002010030000023120000001003000001000230,4554,721
31866270795676,0000103000001000230000200030000023120001,4551,720
77028464962167,0020003000002312000100010300000100023000,4550,720
49626444476549,0001300000100023000002003000002312000100,4547,720
43784009314296,0001000000100023000002030000023120001003,4546,720
113994014741375,0200300000231200010000130000010002300000,4546,720
116687935417865,0203000002312000100300100000010002300000,4545,720
44651635783324,0001000023000000020100000023120001003030,4537,718
16708704473770,0000002312000100303000100002300000002010,4536,718
67059876066361,0010002300000002010000002312000100303000,4533,718
38444577686170,0000231200010030300001000230000000201000,4532,718
99900704997220,0100230000000201000000231200010030300000,4529,718
83744107922784,0023120001003030000010023000000020100000,4528,718
132722429236175,0312000100303000000223000000020100000010,4523,717
172399601439050,2300000002010000001031200010030300000020,4522,717
86798179640602,0030002020200000000300000013001000103201,4517,728
14345719687605,0000001300100010320103000202020000000030,4516,728
151511093645548,1200013030000002023300000000100000010020,4516,717
4920093722450,0000000010000001002020001303000000202331,4515,716
151478781939182,1200010030000002023300000001000000100203,4515,717
7877905804955,0000000100000010020320001003000000202331,4514,716
127684240142213,0300202020000000030000001300100010320100,4513,728
33374590267683,0000130010001032010030020202000000003000,4512,728
80134549365618,0020220000000030000303001001032010001000,4505,726
126725771973901,0300100103201000100002022000000003000030,4504,726
115755648941635,0202000000003000030030010003201000100021,4501,725
181549965279577,3001000320100010002120200000000300003000,4500,725
